time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	1.25005e-301	0	0	0	0	0	0
1477010443349642	0	0	0	0	0	radar	9.78964e+259	0	0	0	0	0	0
1477010444349642	1.55945	-0.138501	0	0	0	lidar	1.25005e-301	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.59584	0.321942	2.12229	0	0	radar	5.95871	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.81292	-0.132439	2.84341	-0.19324	-0.0653138	lidar	1.32559	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.89411	0.073694	2.92561	-0.00828127	0.0175021	radar	0.139341	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.77566	0.415062	4.13853	0.349144	0.230473	lidar	1.02837	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.63099	0.520234	3.35544	0.568628	0.619308	radar	0.631268	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.16513	0.725022	1.87547	0.382642	0.124962	lidar	5.8741	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.17091	0.809752	2.30725	0.392144	0.132821	radar	0.118911	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.529	1.66152	2.62921	0.338839	-0.000617417	lidar	0.0623551	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5121	1.6263	2.58355	0.324773	-0.00987488	radar	0.00217996	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6253	2.32224	2.30563	0.307478	-0.0135403	lidar	0.0135918	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6537	2.2908	2.45436	0.277687	-0.0435472	radar	0.0165621	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.5575	2.88828	3.16377	0.144447	-0.108012	lidar	0.105208	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.4792	2.87072	2.91733	0.143434	-0.110611	radar	0.0466402	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0324	3.69108	2.7439	0.326232	0.0900866	lidar	0.313481	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0719	3.71285	2.67316	0.345071	0.114463	radar	0.0187953	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3411	4.73404	2.59646	0.485536	0.13428	lidar	0.00244277	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.4145	4.74318	2.79412	0.460619	0.102331	radar	0.0346123	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0579	5.58035	2.85704	0.265082	-0.108215	lidar	0.255275	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1668	5.61552	3.05185	0.251263	-0.120476	radar	0.0558119	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6412	6.94514	2.8032	0.525632	0.154801	lidar	0.63117	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6515	6.93439	2.95339	0.499044	0.111438	radar	0.0197051	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5415	8.08445	3.24145	0.32986	-0.0981739	lidar	0.238741	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.52	8.07921	3.12774	0.334732	-0.093691	radar	0.0088215	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9694	9.86024	2.98281	0.70843	0.236879	lidar	0.923097	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9359	9.83635	2.98859	0.690185	0.209974	radar	0.00876034	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6047	10.7462	2.64614	0.266104	-0.243011	lidar	1.29549	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.709	10.7927	2.89789	0.247565	-0.252889	radar	0.0649499	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1652	12.0601	2.72854	0.479862	0.0893278	lidar	0.700478	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2566	12.0809	2.96861	0.473134	0.0691854	radar	0.0511387	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.2631	13.4436	3.50247	0.401788	-0.0416376	lidar	0.0998283	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.175	13.4169	3.19601	0.418352	-0.022977	radar	0.0699777	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7836	14.8293	3.07911	0.512776	0.060571	lidar	0.0647843	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.7698	14.8249	3.12245	0.507784	0.0502992	radar	0.0041068	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3472	16.5422	3.239	0.631563	0.101382	lidar	0.0262942	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.3888	16.5568	3.26478	0.630457	0.103869	radar	0.00837088	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.178	17.337	2.75155	0.217314	-0.257798	lidar	1.38692	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1537	17.3357	2.76405	0.227221	-0.246843	radar	0.00312071	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6193	19.0182	2.79443	0.742467	0.305095	lidar	1.36243	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6273	18.9929	2.94152	0.697943	0.238421	radar	0.0235163	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.672	19.9237	2.96028	0.125308	-0.347995	lidar	1.85335	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6415	19.9049	2.87115	0.124132	-0.356077	radar	0.00729527	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0679	21.0466	2.49448	0.432479	0.108697	lidar	1.19005	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0549	21.0275	2.5992	0.413452	0.0823523	radar	0.0131628	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6323	21.7868	2.80297	0.249386	-0.0952723	lidar	0.13538	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6395	21.7924	2.84047	0.252319	-0.09086	radar	0.000976667	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.9113	22.7822	2.53189	0.411215	0.0770959	lidar	0.239967	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.899	22.772	2.61088	0.402992	0.066196	radar	0.00866591	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3712	23.4198	2.64327	0.220106	-0.108632	lidar	0.14684	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.436	23.4389	2.64166	0.20836	-0.124863	radar	0.02353	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.2862	23.98	3.08409	0.16264	-0.0615601	lidar	0.0426518	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.1647	23.9277	2.63591	0.1144	-0.124257	radar	0.155504	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.307	24.3527	2.24919	0.157507	-0.0148578	lidar	0.116549	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.4	24.3859	2.46034	0.18205	0.0108542	radar	0.0481578	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8114	24.8784	2.59397	0.222317	0.0320188	lidar	0.00422092	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7624	24.8597	2.3934	0.208478	0.0129745	radar	0.0286276	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.9189	24.7437	2.15669	-0.112427	-0.216222	lidar	0.208773	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9676	24.767	2.26725	-0.0939666	-0.192478	radar	0.0141853	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0108	25.2184	2.03305	0.244662	0.167754	lidar	0.425949	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	75.0032	25.2141	2.03907	0.240951	0.164795	radar	0.000420769	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1132	24.9741	2.03346	-0.19085	-0.235948	lidar	0.406077	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.125	24.9676	1.97896	-0.214899	-0.270516	radar	0.00529225	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0854	24.9976	1.9583	0.0298986	0.0783914	lidar	0.233646	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.0866	25.0021	1.90059	0.0275316	0.0735487	radar	0.00290331	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8197	24.8824	1.81411	-0.0513949	-0.0267743	lidar	0.0217853	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8514	24.8872	1.73805	-0.066176	-0.0556331	radar	0.0154019	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6061	24.6426	1.8764	-0.165859	-0.0812147	lidar	0.00644011	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5806	24.63	1.76119	-0.198063	-0.120285	radar	0.011272	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1741	24.53	1.66344	-0.0646838	0.041564	lidar	0.0547284	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1795	24.5318	1.6474	-0.0651504	0.0389632	radar	0.00052939	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6548	23.8476	1.5887	-0.503819	-0.267863	lidar	0.147033	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.7121	23.8713	1.6927	-0.463463	-0.225183	radar	0.0169276	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9602	23.4905	1.3257	-0.380593	-0.0381603	lidar	0.105192	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0685	23.5228	1.39305	-0.314698	0.00622693	radar	0.0489376	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7644	22.808	1.96271	-0.419993	-0.059295	lidar	0.0816851	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.6883	22.7766	1.80054	-0.516366	-0.159532	radar	0.0454319	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5721	22.2703	1.04063	-0.607235	-0.148635	lidar	0.144613	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6284	22.2841	1.13179	-0.561121	-0.105633	radar	0.0130378	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5102	21.6656	1.139	-0.640805	-0.0887069	lidar	0.00014842	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.6042	21.6904	1.27951	-0.523648	0.0123181	radar	0.0415149	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7072	21.1117	1.33371	-0.437354	0.0579029	lidar	0.00214875	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7592	21.1252	1.2836	-0.431574	0.0361641	radar	0.0213471	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8571	20.9277	1.1573	-0.116089	0.204282	lidar	0.0338331	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.917	20.9506	1.08536	-0.0873018	0.209469	radar	0.0284157	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.529	20.2917	0.633598	-0.602604	-0.218723	lidar	0.150192	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.6028	20.3245	0.871923	-0.52509	-0.137503	radar	0.0379787	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.1878	19.6634	1.87317	-0.227015	0.145846	lidar	0.221275	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.003	19.6239	1.42263	-0.532683	-0.097018	radar	0.298735	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5942	19.635	0.467977	-0.311415	0.0579842	lidar	0.260646	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.6284	19.6182	0.683797	-0.294287	0.0781535	radar	0.0266188	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2675	19.2081	0.786125	-0.540964	-0.114222	lidar	0.0115976	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3194	19.2205	0.894883	-0.475715	-0.0607562	radar	0.013591	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4636	18.7316	1.38967	-0.335155	0.058897	lidar	0.052739	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4287	18.7204	1.24223	-0.415681	-0.0131145	radar	0.0221921	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2413	18.3623	0.957241	-0.391116	0.00190424	lidar	0.0173981	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2592	18.3663	0.946824	-0.386119	-0.000140455	radar	0.00201929	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0475	17.4264	1.17415	-1.05386	-0.390121	lidar	0.0932018	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0698	17.485	1.26435	-0.824203	-0.156725	radar	0.056989	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9722	16.9513	1.05492	-0.57338	0.0833703	lidar	0.0647565	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.053	16.966	1.09288	-0.503773	0.125693	radar	0.0255489	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.174	16.5321	1.29154	-0.249686	0.203418	lidar	0.0106126	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.146	16.5311	1.15082	-0.28815	0.159114	radar	0.0149673	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.361	16.389	1.32868	0.0210098	0.247096	lidar	0.0115025	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.274	16.3795	1.11798	-0.0150723	0.217075	radar	0.0423167	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.049	15.4507	0.727461	-0.865507	-0.394542	lidar	0.328107	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	103.032	15.5095	0.950742	-0.687905	-0.198739	radar	0.0688212	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.046	15.2244	1.03744	-0.206684	0.204878	lidar	0.0664766	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.032	15.2086	1.15484	-0.209347	0.208079	radar	0.0133315	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.484	14.4891	1.72148	-0.573641	-0.11903	lidar	0.160462	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.439	14.4767	1.65459	-0.603214	-0.144245	radar	0.00965669	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.817	14.0168	1.47439	-0.31316	0.114924	lidar	0.145849	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.768	14.0044	1.4992	-0.334836	0.106999	radar	0.0131061	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.088	13.6556	1.4495	-0.181026	0.136641	lidar	0.00173091	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.108	13.6571	1.52831	-0.166935	0.153438	radar	0.00454818	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.533	13.5676	1.53137	0.036211	0.183949	lidar	0.00143724	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.498	13.5624	1.48858	0.0287561	0.178958	radar	0.00502675	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.053	12.653	1.5284	-0.722073	-0.39244	lidar	0.475078	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.154	12.7234	1.83213	-0.57352	-0.215087	radar	0.105047	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.881	12.4401	1.64366	-0.109923	0.220806	lidar	0.371459	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.889	12.4315	1.74163	-0.105259	0.225727	radar	0.00660352	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.767	12.542	2.00949	0.209682	0.279385	lidar	0.018719	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.774	12.5478	1.93391	0.218635	0.285414	radar	0.0060273	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.689	12.1552	1.74651	-0.224114	-0.174096	lidar	0.619203	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.75	12.1905	2.02303	-0.185662	-0.114921	radar	0.0546377	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.913	11.9898	2.30144	-0.0656671	0.0493594	lidar	0.0664741	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.899	11.9899	2.23674	-0.0712734	0.0432269	radar	0.00290775	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.732	12.2762	1.90383	0.212759	0.20062	lidar	0.124629	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.788	12.2744	2.08208	0.207979	0.192903	radar	0.0238998	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.461	12.8125	2.93378	0.210161	0.0501068	lidar	0.170809	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.359	12.8023	2.59519	0.238193	0.0789817	radar	0.0871089	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	125.01	12.819	1.58983	0.0769886	-0.0712317	lidar	0.343006	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.157	12.8546	2.1823	0.0779614	-0.0648152	radar	0.240672	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.776	13.3063	2.8181	0.231438	0.0903386	lidar	0.132415	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.711	13.3038	2.67084	0.238031	0.101159	radar	0.0218786	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.978	13.7124	2.39429	0.202372	0.0145315	lidar	0.0709481	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.039	13.7177	2.44945	0.196232	0.00956815	radar	0.0154266	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.115	14.4978	2.29222	0.405201	0.148158	lidar	0.0815573	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.204	14.4962	2.55561	0.370423	0.0999185	radar	0.0577122	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.01	15.049	2.97543	0.104795	-0.161154	lidar	0.307759	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	134.992	15.0335	2.77836	0.0978918	-0.170545	radar	0.0272472	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.566	16.1801	2.739	0.509188	0.230385	lidar	0.974686	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.616	16.1643	2.94369	0.468806	0.165538	radar	0.0355495	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.318	17.0269	2.89509	0.28591	-0.0829006	lidar	0.375948	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.33	17.0292	2.92061	0.283027	-0.0859852	radar	0.000674662	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.901	17.985	2.84784	0.348059	0.0210558	lidar	0.0743229	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.869	17.979	2.87055	0.341454	0.00766064	radar	0.00765325	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.393	19.1539	2.89835	0.46988	0.0928329	lidar	0.0454866	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.479	19.1612	3.04157	0.450016	0.0683819	radar	0.0324619	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.23	20.471	3.19761	0.448666	0.0145779	lidar	0.0179654	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.203	20.4705	3.06468	0.471563	0.0501851	radar	0.0146193	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.688	22.1078	3.09253	0.634001	0.130571	lidar	0.0474773	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.701	22.1006	3.20662	0.599869	0.0739794	radar	0.0157881	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.413	23.5033	3.14363	0.438986	-0.0972062	lidar	0.219376	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.39	23.4976	3.04203	0.453265	-0.0749012	radar	0.00804658	153.466	22.9115	153.491	23.3999	2.66999	1.3647
